,1.0000,3.0000,5.0000,7.0000,9.0000,11.0000,13.0000,15.0000,17.0000,19.0000,21.0000,23.0000,25.0000,27.0000,29.0000,31.0000,33.0000,35.0000,37.0000,39.0000,41.0000
YKL116C,-0.84773,-0.46902,-1.0581,-1.9207,-0.74253,1.1089,1.9926,1.0037,-0.49006,-0.49006,-0.70045,1.0668,1.2772,1.0037,0.37255,-0.65838,-0.63734,-0.38487,0.85645,0.81437,-0.048236
YKL164C,-1.028,-1.5496,-1.9773,-2.186,-1.4036,0.76641,0.98549,0.87073,0.36997,-0.089058,-0.49593,0.71424,1.0689,0.99592,0.45343,0.15089,-0.05776,0.056997,0.52646,0.51603,0.68295
YLR079W,-1.27,-1.27,-1.2561,-1.9114,-1.3119,1.0024,1.5462,0.80726,-0.12683,-0.96333,-0.99122,0.44477,0.96061,0.94667,0.41689,-0.23837,-0.58691,-0.043185,0.76543,0.76543,0.37506
YNL078W,-1.2667,-1.194,-1.4266,-1.5284,-1.5284,1.0596,1.4667,0.92876,0.12908,-0.62697,-0.94684,0.52165,1.3213,1.1759,0.62343,-0.0017731,-0.51066,-0.17625,0.76882,0.78336,0.75428
YNL327W,-1.7248,-1.7517,-1.7382,-1.981,-1.7113,0.48024,0.8646,0.81066,0.38584,0.048682,-0.38288,0.5207,0.88483,0.91855,0.6151,0.38584,0.31166,0.28469,0.58813,0.68254,0.75671
YIL009W,-1.1352,-1.2399,-1.3028,-1.6796,-0.3396,0.47698,1.8589,1.1051,-0.44429,-0.44429,-0.6118,0.81199,1.2517,1.4611,0.85386,-0.46523,-0.1721,-0.21398,0.56073,0.74917,0.20478
YER158C,0.42883,-0.71225,-1.2246,-1.7835,-1.7835,-0.57253,0.24253,0.14938,-0.36294,-0.92184,-0.78211,0.24253,0.96444,0.80142,0.89457,0.42883,0.14938,0.82471,1.5932,1.337,1.4302
YNR067C,-1.0015,-1.6081,-1.8001,-1.9153,-1.6235,0.45756,1.2255,1.0258,0.23487,-0.12605,-0.67126,0.4806,1.0258,1.0949,0.68793,0.21183,0.073607,0.065928,0.66489,0.83383,0.73401
YOL011W,1.3533,0.20534,0.66454,-1.4019,-0.4452,0.32014,1.3916,1.5064,0.1288,0.16707,-0.90441,0.81761,0.54974,0.93241,0.28187,-1.1723,-0.56001,-0.75134,0.090534,0.39667,-0.25387
YOR264W,-1.5045,-1.4957,-1.5222,-1.7779,-1.4781,0.5499,1.414,1.1142,0.31183,-0.34065,-0.89614,0.4,1.0701,1.1671,0.82324,0.18839,-0.093765,-0.1114,0.68216,0.89377,0.53226
YBR067C,0.25877,-0.87197,-1.5937,-3.0132,-0.22239,0.93241,1.0286,1.0768,-0.31863,-0.46298,-0.70356,0.52342,0.73994,0.78806,-0.053985,-0.70356,-0.53515,-0.1021,0.25877,0.35501,0.64371
YBR158W,-1.2212,-1.4182,-1.2749,-2.0273,-1.4003,0.050682,1.4121,1.2688,0.050682,-0.16428,-1.0599,0.31938,1.018,1.2867,0.67765,-0.038885,0.068595,-0.20011,0.40895,0.78513,0.606
YDR055W,0.49282,-0.55596,-1.3525,-2.003,-1.5516,0.90437,1.3292,0.91765,-0.06476,-0.72855,-1.3127,0.65213,1.2363,1.077,0.38662,-0.317,-0.56924,-0.25062,0.65213,0.73178,0.75834
YEL066W,1.898,2.3664,-0.65992,-1.1283,0.96132,1.6098,1.3576,1.1054,-0.15553,-0.29964,-0.69595,0.060632,0.42091,1.4657,-0.19156,-1.0562,-1.4886,-0.51581,-0.011423,-0.29964,0.49296
